trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-228.41730760528336,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-119.72441240982123,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-122.6899285500534,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-128.0627224840526,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-126.08513905435426,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-105.96863021884904,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-115.65535635926126,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-126.19247637691669,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-37.94439295380995,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-128.7345844101696,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-153.5131681905989,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-133.01914349856884,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-30.35102158998929,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-197.7642531656569,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-97.32633880756936,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-42.11452913030149,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-66.44260211502251,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,35.689079993723475,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-84.65379370482964,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0}",20,16,7.389694977417059,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,6,-9.992357104586741,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.498556404808266,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,13,11.38379716652796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,6,-39.269906282711275,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,27.933626433815604,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.11862243066038,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,7,30.270808774462864,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-24.87192875751458,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-95.22645233483546,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.608576850391888,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
