trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.16938608796833,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.83284234112917,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.03943213135439,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.66707490147266,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.6579161187695,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.24987855325841,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.81233114397767,"{0: 12, 1: 5, 2: 10, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.10643672016394,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.95003151417643,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.56820032320176,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.85905534697112,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.47992049205632,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.77994367512015,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.30642674218882,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,19,8.944843328647764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,9,-51.65883526595715,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.48636347723496,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-193.52376565938215,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.98959879744301,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.44264420508176,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.88669702951785,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.5986964603245,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.42856778898229,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.34864248161034,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,4,-27.50626471458338,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.73624680202715,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-193.42201925578496,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-76.68299969546275,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.83343240432508,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-81.91042387328831,"{0: 25, 1: 2, 2: 6, 3: 2, 4: 0}",0
