trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-65.08354626230778,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-72.22194095136896,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-59.58875709596671,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-317.9081108617891,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-33.67276441845519,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-48.59844357962409,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-32.0463296353923,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-115.83175667169931,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-65.87821561351467,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-91.7051887965335,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-31.984390644335036,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-26.19850574660125,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-114.63567716605213,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-79.07054959937837,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-64.60132271536258,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,12,-9.13950904468377,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.63713355024741,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,11.281533433039705,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-25.69444943635895,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",25,0,-0.5344060150450671,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,27.41624253983376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.477270016052245,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-31.38614406788831,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,19,1.5667916447882375,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,13,-5.762428281699684,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.85626814879283,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,2,8.767333525262668,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,29.565885151581305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.514051257799796,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,23.615853119886502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,0,-63.233137465693574,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.49626769584128,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
