trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.2581136423248,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,6,-113.44261122315213,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-288.68783186279154,"{0: 14, 1: 6, 2: 8, 3: 4, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.31473972170585,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,7,-106.56713620416267,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.24356586333874,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.67265155066167,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.66392408367895,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.55876258886418,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.91465609344041,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.78661977601152,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.1603394882312,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.1684630935777,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.7350592973713,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.67158879692825,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.99922395720992,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.079103020685515,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
